wav_filename,transcript,wav_filesize
/mnist_rasterized_images/image_1.wav,one,16000
/mnist_rasterized_images/image_2.wav,one,16000
/mnist_rasterized_images/image_3.wav,one,16000
/mnist_rasterized_images/image_4.wav,one,16000
/mnist_rasterized_images/image_5.wav,one,16000
/mnist_rasterized_images/image_6.wav,one,16000
/mnist_rasterized_images/image_7.wav,one,16000
/mnist_rasterized_images/image_8.wav,one,16000
/mnist_rasterized_images/image_9.wav,one,16000
/mnist_rasterized_images/image_10.wav,one,16000
/mnist_rasterized_images/image_11.wav,one,16000
/mnist_rasterized_images/image_12.wav,one,16000
/mnist_rasterized_images/image_13.wav,one,16000
/mnist_rasterized_images/image_14.wav,one,16000
/mnist_rasterized_images/image_15.wav,one,16000
/mnist_rasterized_images/image_16.wav,one,16000
/mnist_rasterized_images/image_17.wav,one,16000
/mnist_rasterized_images/image_18.wav,one,16000
/mnist_rasterized_images/image_19.wav,one,16000
/mnist_rasterized_images/image_20.wav,one,16000
/mnist_rasterized_images/image_21.wav,one,16000
/mnist_rasterized_images/image_22.wav,one,16000
/mnist_rasterized_images/image_23.wav,one,16000
/mnist_rasterized_images/image_24.wav,one,16000
/mnist_rasterized_images/image_25.wav,one,16000
/mnist_rasterized_images/image_26.wav,one,16000
/mnist_rasterized_images/image_27.wav,one,16000
/mnist_rasterized_images/image_28.wav,one,16000
/mnist_rasterized_images/image_29.wav,one,16000
/mnist_rasterized_images/image_30.wav,one,16000
/mnist_rasterized_images/image_31.wav,one,16000
/mnist_rasterized_images/image_32.wav,one,16000
/mnist_rasterized_images/image_33.wav,one,16000
/mnist_rasterized_images/image_34.wav,one,16000
/mnist_rasterized_images/image_35.wav,one,16000
/mnist_rasterized_images/image_36.wav,one,16000
/mnist_rasterized_images/image_37.wav,one,16000
/mnist_rasterized_images/image_38.wav,one,16000
/mnist_rasterized_images/image_39.wav,one,16000
/mnist_rasterized_images/image_40.wav,one,16000
/mnist_rasterized_images/image_41.wav,one,16000
/mnist_rasterized_images/image_42.wav,one,16000
/mnist_rasterized_images/image_43.wav,one,16000
/mnist_rasterized_images/image_44.wav,one,16000
/mnist_rasterized_images/image_45.wav,one,16000
/mnist_rasterized_images/image_46.wav,one,16000
/mnist_rasterized_images/image_47.wav,one,16000
/mnist_rasterized_images/image_48.wav,one,16000
/mnist_rasterized_images/image_49.wav,one,16000
/mnist_rasterized_images/image_50.wav,one,16000
/mnist_rasterized_images/image_51.wav,one,16000
/mnist_rasterized_images/image_52.wav,one,16000
/mnist_rasterized_images/image_53.wav,one,16000
/mnist_rasterized_images/image_54.wav,one,16000
/mnist_rasterized_images/image_55.wav,one,16000
/mnist_rasterized_images/image_56.wav,one,16000
/mnist_rasterized_images/image_57.wav,one,16000
/mnist_rasterized_images/image_58.wav,one,16000
/mnist_rasterized_images/image_59.wav,one,16000
/mnist_rasterized_images/image_60.wav,one,16000
/mnist_rasterized_images/image_61.wav,one,16000
/mnist_rasterized_images/image_62.wav,one,16000
/mnist_rasterized_images/image_63.wav,one,16000
/mnist_rasterized_images/image_64.wav,one,16000
/mnist_rasterized_images/image_65.wav,one,16000
/mnist_rasterized_images/image_66.wav,one,16000
/mnist_rasterized_images/image_67.wav,one,16000
/mnist_rasterized_images/image_68.wav,one,16000
/mnist_rasterized_images/image_69.wav,one,16000
/mnist_rasterized_images/image_70.wav,one,16000
/mnist_rasterized_images/image_71.wav,one,16000
/mnist_rasterized_images/image_72.wav,one,16000
/mnist_rasterized_images/image_73.wav,one,16000
/mnist_rasterized_images/image_74.wav,one,16000
/mnist_rasterized_images/image_75.wav,one,16000
/mnist_rasterized_images/image_76.wav,one,16000
/mnist_rasterized_images/image_77.wav,one,16000
/mnist_rasterized_images/image_78.wav,one,16000
/mnist_rasterized_images/image_79.wav,one,16000
/mnist_rasterized_images/image_80.wav,one,16000
/mnist_rasterized_images/image_81.wav,one,16000
/mnist_rasterized_images/image_82.wav,one,16000
/mnist_rasterized_images/image_83.wav,one,16000
/mnist_rasterized_images/image_84.wav,one,16000
/mnist_rasterized_images/image_85.wav,one,16000
/mnist_rasterized_images/image_86.wav,one,16000
/mnist_rasterized_images/image_87.wav,one,16000
/mnist_rasterized_images/image_88.wav,one,16000
/mnist_rasterized_images/image_89.wav,one,16000
/mnist_rasterized_images/image_90.wav,one,16000
/mnist_rasterized_images/image_91.wav,one,16000
/mnist_rasterized_images/image_92.wav,one,16000
/mnist_rasterized_images/image_93.wav,one,16000
/mnist_rasterized_images/image_94.wav,one,16000
/mnist_rasterized_images/image_95.wav,one,16000
/mnist_rasterized_images/image_96.wav,one,16000
/mnist_rasterized_images/image_97.wav,one,16000
/mnist_rasterized_images/image_98.wav,one,16000
/mnist_rasterized_images/image_99.wav,one,16000
/mnist_rasterized_images/image_100.wav,one,16000
/mnist_rasterized_images/image_101.wav,one,16000
/mnist_rasterized_images/image_102.wav,one,16000
/mnist_rasterized_images/image_103.wav,one,16000
/mnist_rasterized_images/image_104.wav,one,16000
/mnist_rasterized_images/image_105.wav,one,16000
/mnist_rasterized_images/image_106.wav,one,16000
/mnist_rasterized_images/image_107.wav,one,16000
/mnist_rasterized_images/image_108.wav,one,16000
/mnist_rasterized_images/image_109.wav,one,16000
/mnist_rasterized_images/image_110.wav,one,16000
/mnist_rasterized_images/image_111.wav,one,16000
/mnist_rasterized_images/image_112.wav,one,16000
/mnist_rasterized_images/image_113.wav,one,16000
/mnist_rasterized_images/image_114.wav,one,16000
/mnist_rasterized_images/image_115.wav,one,16000
/mnist_rasterized_images/image_116.wav,one,16000
/mnist_rasterized_images/image_117.wav,one,16000
/mnist_rasterized_images/image_118.wav,one,16000
/mnist_rasterized_images/image_119.wav,one,16000
/mnist_rasterized_images/image_120.wav,one,16000
/mnist_rasterized_images/image_121.wav,one,16000
/mnist_rasterized_images/image_122.wav,one,16000
/mnist_rasterized_images/image_123.wav,one,16000
/mnist_rasterized_images/image_124.wav,one,16000
/mnist_rasterized_images/image_125.wav,one,16000
/mnist_rasterized_images/image_126.wav,one,16000
/mnist_rasterized_images/image_127.wav,one,16000
/mnist_rasterized_images/image_128.wav,one,16000
/mnist_rasterized_images/image_129.wav,one,16000
/mnist_rasterized_images/image_130.wav,one,16000
/mnist_rasterized_images/image_131.wav,one,16000
/mnist_rasterized_images/image_132.wav,one,16000
/mnist_rasterized_images/image_133.wav,one,16000
/mnist_rasterized_images/image_134.wav,one,16000
/mnist_rasterized_images/image_135.wav,one,16000
/mnist_rasterized_images/image_136.wav,one,16000
/mnist_rasterized_images/image_137.wav,one,16000
/mnist_rasterized_images/image_138.wav,one,16000
/mnist_rasterized_images/image_139.wav,one,16000
/mnist_rasterized_images/image_140.wav,one,16000
/mnist_rasterized_images/image_141.wav,one,16000
/mnist_rasterized_images/image_142.wav,one,16000
/mnist_rasterized_images/image_143.wav,one,16000
/mnist_rasterized_images/image_144.wav,one,16000
/mnist_rasterized_images/image_145.wav,one,16000
/mnist_rasterized_images/image_146.wav,one,16000
